Écoles/Instituts,Ville,Type d'établissement,Diplôme,Durée d'études,Conditions d'accès,Filières Bacs acceptées,Seuil,Filières d'études possibles,Seuil (2024),Seuil (2022),Seuil (2023),Type,Seuil (2020),Seuil (2019),Seuil (2021),Seuil (2017),Seuil (2013),Seuil (2018)
Facultés des Sciences (FS),Ait Melloul,Université publique,Licence,3 ans,Baccalauréat scientifique ou technologique + étude de dossier pour les filières de Mathématiques.,"Baccalauréat scientifique ou technologique (PC, BCG, MIP, etc.)",,Informatique Appliquée,,,,,,,,,,
Facultés des Sciences (FS),Ait Melloul,Université publique,Licence,3 ans,Baccalauréat scientifique ou technologique + étude de dossier pour les filières de Mathématiques.,"Baccalauréat scientifique ou technologique (PC, BCG, MIP, etc.)",,"Mathématiques, Informatique, Physique (MIP)",,,,,,,,,,
Facultés des Sciences (FS),Ait Melloul,Université publique,Licence,3 ans,Baccalauréat scientifique ou technologique + étude de dossier pour les filières de Mathématiques.,"Baccalauréat scientifique ou technologique (PC, BCG, MIP, etc.)",,Sciences Politiques,,,,,,,,,,
Facultés des Sciences (FS),Ait Melloul,Université publique,Licence,3 ans,Baccalauréat scientifique ou technologique + étude de dossier pour les filières de Mathématiques.,"Baccalauréat scientifique ou technologique (PC, BCG, MIP, etc.)",,Économie et Gestion,,,,,,,,,,
Facultés de Médecine et de Pharmacie (FMP),Casablanca,Faculté publique,"Doctorat (Médecine Générale, Pharmacie)","6 ans (Médecine Générale/Pharmacie), 4 ans (Pharmacie après Bac+2)","Baccalauréat sciences mathématiques ou sciences expérimentales + concours national unifié après pré-sélection basée sur 75% Bac National + 25% Bac Régional. Pour 2024, le seuil de pré-sélection était de 13.00 pour l'examen unifié de médecine/pharmacie/dentisterie. [cite: 100]","Sciences Mathématiques, Sciences Expérimentales (PC, SVT)",,Médecine Générale,,,,,,,,,,
Facultés de Médecine et de Pharmacie (FMP),Casablanca,Faculté publique,"Doctorat (Médecine Générale, Pharmacie)","6 ans (Médecine Générale/Pharmacie), 4 ans (Pharmacie après Bac+2)","Baccalauréat sciences mathématiques ou sciences expérimentales + concours national unifié après pré-sélection basée sur 75% Bac National + 25% Bac Régional. Pour 2024, le seuil de pré-sélection était de 13.00 pour l'examen unifié de médecine/pharmacie/dentisterie. [cite: 100]","Sciences Mathématiques, Sciences Expérimentales (PC, SVT)",,Pharmacie,,,,,,,,,,
Facultés de Médecine et de Pharmacie (FMP),Rabat,Faculté publique,"Doctorat (Médecine Générale, Pharmacie)","6 ans (Médecine Générale/Pharmacie), 4 ans (Pharmacie après Bac+2)","Baccalauréat sciences mathématiques ou sciences expérimentales + concours national unifié après pré-sélection basée sur 75% Bac National + 25% Bac Régional. Pour 2024, le seuil de pré-sélection était de 13.00 pour l'examen unifié de médecine/pharmacie/dentisterie. [cite: 100]","Sciences Mathématiques, Sciences Expérimentales (PC, SVT)",,Médecine Générale,,,,,,,,,,
Facultés de Médecine et de Pharmacie (FMP),Rabat,Faculté publique,"Doctorat (Médecine Générale, Pharmacie)","6 ans (Médecine Générale/Pharmacie), 4 ans (Pharmacie après Bac+2)","Baccalauréat sciences mathématiques ou sciences expérimentales + concours national unifié après pré-sélection basée sur 75% Bac National + 25% Bac Régional. Pour 2024, le seuil de pré-sélection était de 13.00 pour l'examen unifié de médecine/pharmacie/dentisterie. [cite: 100]","Sciences Mathématiques, Sciences Expérimentales (PC, SVT)",,Pharmacie,,,,,,,,,,
Facultés de Médecine et de Pharmacie (FMP),Fès,Faculté publique,"Doctorat (Médecine Générale, Pharmacie)","6 ans (Médecine Générale/Pharmacie), 4 ans (Pharmacie après Bac+2)","Baccalauréat sciences mathématiques ou sciences expérimentales + concours national unifié après pré-sélection basée sur 75% Bac National + 25% Bac Régional. Pour 2024, le seuil de pré-sélection était de 13.00 pour l'examen unifié de médecine/pharmacie/dentisterie. [cite: 100]","Sciences Mathématiques, Sciences Expérimentales (PC, SVT)",,Médecine Générale,,,,,,,,,,
Facultés de Médecine et de Pharmacie (FMP),Fès,Faculté publique,"Doctorat (Médecine Générale, Pharmacie)","6 ans (Médecine Générale/Pharmacie), 4 ans (Pharmacie après Bac+2)","Baccalauréat sciences mathématiques ou sciences expérimentales + concours national unifié après pré-sélection basée sur 75% Bac National + 25% Bac Régional. Pour 2024, le seuil de pré-sélection était de 13.00 pour l'examen unifié de médecine/pharmacie/dentisterie. [cite: 100]","Sciences Mathématiques, Sciences Expérimentales (PC, SVT)",,Pharmacie,,,,,,,,,,
Facultés de Médecine et de Pharmacie (FMP),Tanger,Faculté publique,"Doctorat (Médecine Générale, Pharmacie)","6 ans (Médecine Générale/Pharmacie), 4 ans (Pharmacie après Bac+2)","Baccalauréat sciences mathématiques ou sciences expérimentales + concours national unifié après pré-sélection basée sur 75% Bac National + 25% Bac Régional. Pour 2024, le seuil de pré-sélection était de 13.00 pour l'examen unifié de médecine/pharmacie/dentisterie. [cite: 100]","Sciences Mathématiques, Sciences Expérimentales (PC, SVT)",,Médecine Générale,,,,,,,,,,
Facultés de Médecine et de Pharmacie (FMP),Tanger,Faculté publique,"Doctorat (Médecine Générale, Pharmacie)","6 ans (Médecine Générale/Pharmacie), 4 ans (Pharmacie après Bac+2)","Baccalauréat sciences mathématiques ou sciences expérimentales + concours national unifié après pré-sélection basée sur 75% Bac National + 25% Bac Régional. Pour 2024, le seuil de pré-sélection était de 13.00 pour l'examen unifié de médecine/pharmacie/dentisterie. [cite: 100]","Sciences Mathématiques, Sciences Expérimentales (PC, SVT)",,Pharmacie,,,,,,,,,,
Facultés de Médecine et de Pharmacie (FMP),Marrakech,Faculté publique,"Doctorat (Médecine Générale, Pharmacie)","6 ans (Médecine Générale/Pharmacie), 4 ans (Pharmacie après Bac+2)","Baccalauréat sciences mathématiques ou sciences expérimentales + concours national unifié après pré-sélection basée sur 75% Bac National + 25% Bac Régional. Pour 2024, le seuil de pré-sélection était de 13.00 pour l'examen unifié de médecine/pharmacie/dentisterie. [cite: 100]","Sciences Mathématiques, Sciences Expérimentales (PC, SVT)",,Médecine Générale,,,,,,,,,,
Facultés de Médecine et de Pharmacie (FMP),Marrakech,Faculté publique,"Doctorat (Médecine Générale, Pharmacie)","6 ans (Médecine Générale/Pharmacie), 4 ans (Pharmacie après Bac+2)","Baccalauréat sciences mathématiques ou sciences expérimentales + concours national unifié après pré-sélection basée sur 75% Bac National + 25% Bac Régional. Pour 2024, le seuil de pré-sélection était de 13.00 pour l'examen unifié de médecine/pharmacie/dentisterie. [cite: 100]","Sciences Mathématiques, Sciences Expérimentales (PC, SVT)",,Pharmacie,,,,,,,,,,
Facultés de Médecine et de Pharmacie (FMP),Oujda,Faculté publique,"Doctorat (Médecine Générale, Pharmacie)","6 ans (Médecine Générale/Pharmacie), 4 ans (Pharmacie après Bac+2)","Baccalauréat sciences mathématiques ou sciences expérimentales + concours national unifié après pré-sélection basée sur 75% Bac National + 25% Bac Régional. Pour 2024, le seuil de pré-sélection était de 13.00 pour l'examen unifié de médecine/pharmacie/dentisterie. [cite: 100]","Sciences Mathématiques, Sciences Expérimentales (PC, SVT)",,Médecine Générale,,,,,,,,,,
Facultés de Médecine et de Pharmacie (FMP),Oujda,Faculté publique,"Doctorat (Médecine Générale, Pharmacie)","6 ans (Médecine Générale/Pharmacie), 4 ans (Pharmacie après Bac+2)","Baccalauréat sciences mathématiques ou sciences expérimentales + concours national unifié après pré-sélection basée sur 75% Bac National + 25% Bac Régional. Pour 2024, le seuil de pré-sélection était de 13.00 pour l'examen unifié de médecine/pharmacie/dentisterie. [cite: 100]","Sciences Mathématiques, Sciences Expérimentales (PC, SVT)",,Pharmacie,,,,,,,,,,
Facultés de Médecine et de Pharmacie (FMP),Agadir,Faculté publique,"Doctorat (Médecine Générale, Pharmacie)","6 ans (Médecine Générale/Pharmacie), 4 ans (Pharmacie après Bac+2)","Baccalauréat sciences mathématiques ou sciences expérimentales + concours national unifié après pré-sélection basée sur 75% Bac National + 25% Bac Régional. Pour 2024, le seuil de pré-sélection était de 13.00 pour l'examen unifié de médecine/pharmacie/dentisterie. [cite: 100]","Sciences Mathématiques, Sciences Expérimentales (PC, SVT)",,Médecine Générale,,,,,,,,,,
Facultés de Médecine et de Pharmacie (FMP),Agadir,Faculté publique,"Doctorat (Médecine Générale, Pharmacie)","6 ans (Médecine Générale/Pharmacie), 4 ans (Pharmacie après Bac+2)","Baccalauréat sciences mathématiques ou sciences expérimentales + concours national unifié après pré-sélection basée sur 75% Bac National + 25% Bac Régional. Pour 2024, le seuil de pré-sélection était de 13.00 pour l'examen unifié de médecine/pharmacie/dentisterie. [cite: 100]","Sciences Mathématiques, Sciences Expérimentales (PC, SVT)",,Pharmacie,,,,,,,,,,
Facultés de Médecine et de Pharmacie (FMP),Laâyoune,Faculté publique,"Doctorat (Médecine Générale, Pharmacie)","6 ans (Médecine Générale/Pharmacie), 4 ans (Pharmacie après Bac+2)","Baccalauréat sciences mathématiques ou sciences expérimentales + concours national unifié après pré-sélection basée sur 75% Bac National + 25% Bac Régional. Pour 2024, le seuil de pré-sélection était de 13.00 pour l'examen unifié de médecine/pharmacie/dentisterie. [cite: 100]","Sciences Mathématiques, Sciences Expérimentales (PC, SVT)",,Médecine Générale,,,,,,,,,,
Facultés de Médecine et de Pharmacie (FMP),Laâyoune,Faculté publique,"Doctorat (Médecine Générale, Pharmacie)","6 ans (Médecine Générale/Pharmacie), 4 ans (Pharmacie après Bac+2)","Baccalauréat sciences mathématiques ou sciences expérimentales + concours national unifié après pré-sélection basée sur 75% Bac National + 25% Bac Régional. Pour 2024, le seuil de pré-sélection était de 13.00 pour l'examen unifié de médecine/pharmacie/dentisterie. [cite: 100]","Sciences Mathématiques, Sciences Expérimentales (PC, SVT)",,Pharmacie,,,,,,,,,,
Facultés de Médecine et de Pharmacie (FMP),Errachidia,Faculté publique,"Doctorat (Médecine Générale, Pharmacie)","6 ans (Médecine Générale/Pharmacie), 4 ans (Pharmacie après Bac+2)","Baccalauréat sciences mathématiques ou sciences expérimentales + concours national unifié après pré-sélection basée sur 75% Bac National + 25% Bac Régional. Pour 2024, le seuil de pré-sélection était de 13.00 pour l'examen unifié de médecine/pharmacie/dentisterie. [cite: 100]","Sciences Mathématiques, Sciences Expérimentales (PC, SVT)",,Médecine Générale,,,,,,,,,,
Facultés de Médecine et de Pharmacie (FMP),Errachidia,Faculté publique,"Doctorat (Médecine Générale, Pharmacie)","6 ans (Médecine Générale/Pharmacie), 4 ans (Pharmacie après Bac+2)","Baccalauréat sciences mathématiques ou sciences expérimentales + concours national unifié après pré-sélection basée sur 75% Bac National + 25% Bac Régional. Pour 2024, le seuil de pré-sélection était de 13.00 pour l'examen unifié de médecine/pharmacie/dentisterie. [cite: 100]","Sciences Mathématiques, Sciences Expérimentales (PC, SVT)",,Pharmacie,,,,,,,,,,
Facultés de Médecine et de Pharmacie (FMP),Guelmim,Faculté publique,"Doctorat (Médecine Générale, Pharmacie)","6 ans (Médecine Générale/Pharmacie), 4 ans (Pharmacie après Bac+2)","Baccalauréat sciences mathématiques ou sciences expérimentales + concours national unifié après pré-sélection basée sur 75% Bac National + 25% Bac Régional. Pour 2024, le seuil de pré-sélection était de 13.00 pour l'examen unifié de médecine/pharmacie/dentisterie. [cite: 100]","Sciences Mathématiques, Sciences Expérimentales (PC, SVT)",,Médecine Générale,,,,,,,,,,
Facultés de Médecine et de Pharmacie (FMP),Guelmim,Faculté publique,"Doctorat (Médecine Générale, Pharmacie)","6 ans (Médecine Générale/Pharmacie), 4 ans (Pharmacie après Bac+2)","Baccalauréat sciences mathématiques ou sciences expérimentales + concours national unifié après pré-sélection basée sur 75% Bac National + 25% Bac Régional. Pour 2024, le seuil de pré-sélection était de 13.00 pour l'examen unifié de médecine/pharmacie/dentisterie. [cite: 100]","Sciences Mathématiques, Sciences Expérimentales (PC, SVT)",,Pharmacie,,,,,,,,,,
Facultés de Médecine et de Pharmacie (FMP),Beni Mellal,Faculté publique,"Doctorat (Médecine Générale, Pharmacie)","6 ans (Médecine Générale/Pharmacie), 4 ans (Pharmacie après Bac+2)","Baccalauréat sciences mathématiques ou sciences expérimentales + concours national unifié après pré-sélection basée sur 75% Bac National + 25% Bac Régional. Pour 2024, le seuil de pré-sélection était de 13.00 pour l'examen unifié de médecine/pharmacie/dentisterie. [cite: 100]","Sciences Mathématiques, Sciences Expérimentales (PC, SVT)",,Médecine Générale,,,,,,,,,,
Facultés de Médecine et de Pharmacie (FMP),Beni Mellal,Faculté publique,"Doctorat (Médecine Générale, Pharmacie)","6 ans (Médecine Générale/Pharmacie), 4 ans (Pharmacie après Bac+2)","Baccalauréat sciences mathématiques ou sciences expérimentales + concours national unifié après pré-sélection basée sur 75% Bac National + 25% Bac Régional. Pour 2024, le seuil de pré-sélection était de 13.00 pour l'examen unifié de médecine/pharmacie/dentisterie. [cite: 100]","Sciences Mathématiques, Sciences Expérimentales (PC, SVT)",,Pharmacie,,,,,,,,,,
Facultés de Médecine Dentaire (FMD),Casablanca,Faculté publique,Doctorat (Médecine Dentaire),6 ans,"Baccalauréat sciences mathématiques ou sciences expérimentales + concours national unifié après pré-sélection basée sur 75% Bac National + 25% Bac Régional. Pour 2024, le seuil de pré-sélection était de 13.00 pour l'examen unifié de médecine/pharmacie/dentisterie. [cite: 100]","Sciences Mathématiques, Sciences Expérimentales",,Médecine Dentaire,,,,,,,,,,
Facultés de Médecine Dentaire (FMD),Casablanca,Faculté publique,Doctorat (Médecine Dentaire),6 ans,"Baccalauréat sciences mathématiques ou sciences expérimentales + concours national unifié après pré-sélection basée sur 75% Bac National + 25% Bac Régional. Pour 2024, le seuil de pré-sélection était de 13.00 pour l'examen unifié de médecine/pharmacie/dentisterie. [cite: 100]","Sciences Mathématiques, Sciences Expérimentales",,Assistantes Dentaires (DUT),,,,,,,,,,
Facultés de Médecine Dentaire (FMD),Casablanca,Faculté publique,Doctorat (Médecine Dentaire),6 ans,"Baccalauréat sciences mathématiques ou sciences expérimentales + concours national unifié après pré-sélection basée sur 75% Bac National + 25% Bac Régional. Pour 2024, le seuil de pré-sélection était de 13.00 pour l'examen unifié de médecine/pharmacie/dentisterie. [cite: 100]","Sciences Mathématiques, Sciences Expérimentales",,Prothésistes Dentaires (DUT),,,,,,,,,,
Facultés de Médecine Dentaire (FMD),Casablanca,Faculté publique,Doctorat (Médecine Dentaire),6 ans,"Baccalauréat sciences mathématiques ou sciences expérimentales + concours national unifié après pré-sélection basée sur 75% Bac National + 25% Bac Régional. Pour 2024, le seuil de pré-sélection était de 13.00 pour l'examen unifié de médecine/pharmacie/dentisterie. [cite: 100]","Sciences Mathématiques, Sciences Expérimentales",,Technologie de Laboratoire de Prothèse Dentaire (DUT),,,,,,,,,,
Facultés de Médecine Dentaire (FMD),Rabat,Faculté publique,Doctorat (Médecine Dentaire),6 ans,"Baccalauréat sciences mathématiques ou sciences expérimentales + concours national unifié après pré-sélection basée sur 75% Bac National + 25% Bac Régional. Pour 2024, le seuil de pré-sélection était de 13.00 pour l'examen unifié de médecine/pharmacie/dentisterie. [cite: 100]","Sciences Mathématiques, Sciences Expérimentales",,Médecine Dentaire,,,,,,,,,,
Facultés de Médecine Dentaire (FMD),Rabat,Faculté publique,Doctorat (Médecine Dentaire),6 ans,"Baccalauréat sciences mathématiques ou sciences expérimentales + concours national unifié après pré-sélection basée sur 75% Bac National + 25% Bac Régional. Pour 2024, le seuil de pré-sélection était de 13.00 pour l'examen unifié de médecine/pharmacie/dentisterie. [cite: 100]","Sciences Mathématiques, Sciences Expérimentales",,Assistantes Dentaires (DUT),,,,,,,,,,
Facultés de Médecine Dentaire (FMD),Rabat,Faculté publique,Doctorat (Médecine Dentaire),6 ans,"Baccalauréat sciences mathématiques ou sciences expérimentales + concours national unifié après pré-sélection basée sur 75% Bac National + 25% Bac Régional. Pour 2024, le seuil de pré-sélection était de 13.00 pour l'examen unifié de médecine/pharmacie/dentisterie. [cite: 100]","Sciences Mathématiques, Sciences Expérimentales",,Prothésistes Dentaires (DUT),,,,,,,,,,
Facultés de Médecine Dentaire (FMD),Rabat,Faculté publique,Doctorat (Médecine Dentaire),6 ans,"Baccalauréat sciences mathématiques ou sciences expérimentales + concours national unifié après pré-sélection basée sur 75% Bac National + 25% Bac Régional. Pour 2024, le seuil de pré-sélection était de 13.00 pour l'examen unifié de médecine/pharmacie/dentisterie. [cite: 100]","Sciences Mathématiques, Sciences Expérimentales",,Technologie de Laboratoire de Prothèse Dentaire (DUT),,,,,,,,,,
Facultés de Médecine Dentaire (FMD),Fès,Faculté publique,Doctorat (Médecine Dentaire),6 ans,"Baccalauréat sciences mathématiques ou sciences expérimentales + concours national unifié après pré-sélection basée sur 75% Bac National + 25% Bac Régional. Pour 2024, le seuil de pré-sélection était de 13.00 pour l'examen unifié de médecine/pharmacie/dentisterie. [cite: 100]","Sciences Mathématiques, Sciences Expérimentales",,Médecine Dentaire,,,,,,,,,,
Facultés de Médecine Dentaire (FMD),Fès,Faculté publique,Doctorat (Médecine Dentaire),6 ans,"Baccalauréat sciences mathématiques ou sciences expérimentales + concours national unifié après pré-sélection basée sur 75% Bac National + 25% Bac Régional. Pour 2024, le seuil de pré-sélection était de 13.00 pour l'examen unifié de médecine/pharmacie/dentisterie. [cite: 100]","Sciences Mathématiques, Sciences Expérimentales",,Assistantes Dentaires (DUT),,,,,,,,,,
Facultés de Médecine Dentaire (FMD),Fès,Faculté publique,Doctorat (Médecine Dentaire),6 ans,"Baccalauréat sciences mathématiques ou sciences expérimentales + concours national unifié après pré-sélection basée sur 75% Bac National + 25% Bac Régional. Pour 2024, le seuil de pré-sélection était de 13.00 pour l'examen unifié de médecine/pharmacie/dentisterie. [cite: 100]","Sciences Mathématiques, Sciences Expérimentales",,Prothésistes Dentaires (DUT),,,,,,,,,,
Facultés de Médecine Dentaire (FMD),Fès,Faculté publique,Doctorat (Médecine Dentaire),6 ans,"Baccalauréat sciences mathématiques ou sciences expérimentales + concours national unifié après pré-sélection basée sur 75% Bac National + 25% Bac Régional. Pour 2024, le seuil de pré-sélection était de 13.00 pour l'examen unifié de médecine/pharmacie/dentisterie. [cite: 100]","Sciences Mathématiques, Sciences Expérimentales",,Technologie de Laboratoire de Prothèse Dentaire (DUT),,,,,,,,,,
Instituts Supérieurs des Professions Infirmières et Techniques de Santé (ISPITS),Plusieurs villes (La répartition géographique s'applique),Institut public,"Diplôme d'État (Infirmier, Technicien de Santé)",3 ans,Baccalauréat de l'année en cours ou de l'année précédente + pré-sélection (75% Bac National + 25% Bac Régional) + examen écrit + examen oral. [cite: 103],"Sciences Expérimentales, Sciences Mathématiques, Sciences et Technologies, Sciences Économiques et Gestion, Lettres et Sciences Humaines (pour certaines spécialités comme Assistant Social) [cite: 103]",,Infirmier Polyvalent,,,,,,,,,,
Instituts Supérieurs des Professions Infirmières et Techniques de Santé (ISPITS),Plusieurs villes (La répartition géographique s'applique),Institut public,"Diplôme d'État (Infirmier, Technicien de Santé)",3 ans,Baccalauréat de l'année en cours ou de l'année précédente + pré-sélection (75% Bac National + 25% Bac Régional) + examen écrit + examen oral. [cite: 103],"Sciences Expérimentales, Sciences Mathématiques, Sciences et Technologies, Sciences Économiques et Gestion, Lettres et Sciences Humaines (pour certaines spécialités comme Assistant Social) [cite: 103]",,Infirmier en Anesthésie-Réanimation,,,,,,,,,,
Instituts Supérieurs des Professions Infirmières et Techniques de Santé (ISPITS),Plusieurs villes (La répartition géographique s'applique),Institut public,"Diplôme d'État (Infirmier, Technicien de Santé)",3 ans,Baccalauréat de l'année en cours ou de l'année précédente + pré-sélection (75% Bac National + 25% Bac Régional) + examen écrit + examen oral. [cite: 103],"Sciences Expérimentales, Sciences Mathématiques, Sciences et Technologies, Sciences Économiques et Gestion, Lettres et Sciences Humaines (pour certaines spécialités comme Assistant Social) [cite: 103]",,Infirmier en Santé Mentale,,,,,,,,,,
Instituts Supérieurs des Professions Infirmières et Techniques de Santé (ISPITS),Plusieurs villes (La répartition géographique s'applique),Institut public,"Diplôme d'État (Infirmier, Technicien de Santé)",3 ans,Baccalauréat de l'année en cours ou de l'année précédente + pré-sélection (75% Bac National + 25% Bac Régional) + examen écrit + examen oral. [cite: 103],"Sciences Expérimentales, Sciences Mathématiques, Sciences et Technologies, Sciences Économiques et Gestion, Lettres et Sciences Humaines (pour certaines spécialités comme Assistant Social) [cite: 103]",,Infirmier en Soins d'Urgence et Soins Intensifs,,,,,,,,,,
Instituts Supérieurs des Professions Infirmières et Techniques de Santé (ISPITS),Plusieurs villes (La répartition géographique s'applique),Institut public,"Diplôme d'État (Infirmier, Technicien de Santé)",3 ans,Baccalauréat de l'année en cours ou de l'année précédente + pré-sélection (75% Bac National + 25% Bac Régional) + examen écrit + examen oral. [cite: 103],"Sciences Expérimentales, Sciences Mathématiques, Sciences et Technologies, Sciences Économiques et Gestion, Lettres et Sciences Humaines (pour certaines spécialités comme Assistant Social) [cite: 103]",,Infirmier en Santé Familiale et Communautaire,,,,,,,,,,
Instituts Supérieurs des Professions Infirmières et Techniques de Santé (ISPITS),Plusieurs villes (La répartition géographique s'applique),Institut public,"Diplôme d'État (Infirmier, Technicien de Santé)",3 ans,Baccalauréat de l'année en cours ou de l'année précédente + pré-sélection (75% Bac National + 25% Bac Régional) + examen écrit + examen oral. [cite: 103],"Sciences Expérimentales, Sciences Mathématiques, Sciences et Technologies, Sciences Économiques et Gestion, Lettres et Sciences Humaines (pour certaines spécialités comme Assistant Social) [cite: 103]",,Spécialiste en Maladies Rénales et Dialyse,,,,,,,,,,
Instituts Supérieurs des Professions Infirmières et Techniques de Santé (ISPITS),Plusieurs villes (La répartition géographique s'applique),Institut public,"Diplôme d'État (Infirmier, Technicien de Santé)",3 ans,Baccalauréat de l'année en cours ou de l'année précédente + pré-sélection (75% Bac National + 25% Bac Régional) + examen écrit + examen oral. [cite: 103],"Sciences Expérimentales, Sciences Mathématiques, Sciences et Technologies, Sciences Économiques et Gestion, Lettres et Sciences Humaines (pour certaines spécialités comme Assistant Social) [cite: 103]",,Spécialiste en Gériatrie,,,,,,,,,,
Instituts Supérieurs des Professions Infirmières et Techniques de Santé (ISPITS),Plusieurs villes (La répartition géographique s'applique),Institut public,"Diplôme d'État (Infirmier, Technicien de Santé)",3 ans,Baccalauréat de l'année en cours ou de l'année précédente + pré-sélection (75% Bac National + 25% Bac Régional) + examen écrit + examen oral. [cite: 103],"Sciences Expérimentales, Sciences Mathématiques, Sciences et Technologies, Sciences Économiques et Gestion, Lettres et Sciences Humaines (pour certaines spécialités comme Assistant Social) [cite: 103]",,Spécialiste en Opérations Chirurgicales,,,,,,,,,,
Instituts Supérieurs des Professions Infirmières et Techniques de Santé (ISPITS),Plusieurs villes (La répartition géographique s'applique),Institut public,"Diplôme d'État (Infirmier, Technicien de Santé)",3 ans,Baccalauréat de l'année en cours ou de l'année précédente + pré-sélection (75% Bac National + 25% Bac Régional) + examen écrit + examen oral. [cite: 103],"Sciences Expérimentales, Sciences Mathématiques, Sciences et Technologies, Sciences Économiques et Gestion, Lettres et Sciences Humaines (pour certaines spécialités comme Assistant Social) [cite: 103]",,Infirmier en Soins aux Nouveau-nés et Enfants,,,,,,,,,,
Instituts Supérieurs des Professions Infirmières et Techniques de Santé (ISPITS),Plusieurs villes (La répartition géographique s'applique),Institut public,"Diplôme d'État (Infirmier, Technicien de Santé)",3 ans,Baccalauréat de l'année en cours ou de l'année précédente + pré-sélection (75% Bac National + 25% Bac Régional) + examen écrit + examen oral. [cite: 103],"Sciences Expérimentales, Sciences Mathématiques, Sciences et Technologies, Sciences Économiques et Gestion, Lettres et Sciences Humaines (pour certaines spécialités comme Assistant Social) [cite: 103]",,Laboratoire,,,,,,,,,,
Instituts Supérieurs des Professions Infirmières et Techniques de Santé (ISPITS),Plusieurs villes (La répartition géographique s'applique),Institut public,"Diplôme d'État (Infirmier, Technicien de Santé)",3 ans,Baccalauréat de l'année en cours ou de l'année précédente + pré-sélection (75% Bac National + 25% Bac Régional) + examen écrit + examen oral. [cite: 103],"Sciences Expérimentales, Sciences Mathématiques, Sciences et Technologies, Sciences Économiques et Gestion, Lettres et Sciences Humaines (pour certaines spécialités comme Assistant Social) [cite: 103]",,Préparateur en Pharmacie,,,,,,,,,,
Instituts Supérieurs des Professions Infirmières et Techniques de Santé (ISPITS),Plusieurs villes (La répartition géographique s'applique),Institut public,"Diplôme d'État (Infirmier, Technicien de Santé)",3 ans,Baccalauréat de l'année en cours ou de l'année précédente + pré-sélection (75% Bac National + 25% Bac Régional) + examen écrit + examen oral. [cite: 103],"Sciences Expérimentales, Sciences Mathématiques, Sciences et Technologies, Sciences Économiques et Gestion, Lettres et Sciences Humaines (pour certaines spécialités comme Assistant Social) [cite: 103]",,Diététique et Nutrition,,,,,,,,,,
Instituts Supérieurs des Professions Infirmières et Techniques de Santé (ISPITS),Plusieurs villes (La répartition géographique s'applique),Institut public,"Diplôme d'État (Infirmier, Technicien de Santé)",3 ans,Baccalauréat de l'année en cours ou de l'année précédente + pré-sélection (75% Bac National + 25% Bac Régional) + examen écrit + examen oral. [cite: 103],"Sciences Expérimentales, Sciences Mathématiques, Sciences et Technologies, Sciences Économiques et Gestion, Lettres et Sciences Humaines (pour certaines spécialités comme Assistant Social) [cite: 103]",,Santé et Environnement,,,,,,,,,,
Instituts Supérieurs des Professions Infirmières et Techniques de Santé (ISPITS),Plusieurs villes (La répartition géographique s'applique),Institut public,"Diplôme d'État (Infirmier, Technicien de Santé)",3 ans,Baccalauréat de l'année en cours ou de l'année précédente + pré-sélection (75% Bac National + 25% Bac Régional) + examen écrit + examen oral. [cite: 103],"Sciences Expérimentales, Sciences Mathématiques, Sciences et Technologies, Sciences Économiques et Gestion, Lettres et Sciences Humaines (pour certaines spécialités comme Assistant Social) [cite: 103]",,Radiologie,,,,,,,,,,
Instituts Supérieurs des Professions Infirmières et Techniques de Santé (ISPITS),Plusieurs villes (La répartition géographique s'applique),Institut public,"Diplôme d'État (Infirmier, Technicien de Santé)",3 ans,Baccalauréat de l'année en cours ou de l'année précédente + pré-sélection (75% Bac National + 25% Bac Régional) + examen écrit + examen oral. [cite: 103],"Sciences Expérimentales, Sciences Mathématiques, Sciences et Technologies, Sciences Économiques et Gestion, Lettres et Sciences Humaines (pour certaines spécialités comme Assistant Social) [cite: 103]",,Biotechnologie Biomédicale,,,,,,,,,,
Instituts Supérieurs des Professions Infirmières et Techniques de Santé (ISPITS),Plusieurs villes (La répartition géographique s'applique),Institut public,"Diplôme d'État (Infirmier, Technicien de Santé)",3 ans,Baccalauréat de l'année en cours ou de l'année précédente + pré-sélection (75% Bac National + 25% Bac Régional) + examen écrit + examen oral. [cite: 103],"Sciences Expérimentales, Sciences Mathématiques, Sciences et Technologies, Sciences Économiques et Gestion, Lettres et Sciences Humaines (pour certaines spécialités comme Assistant Social) [cite: 103]",,Maintenance des Équipements Biomédicaux,,,,,,,,,,
Instituts Supérieurs des Professions Infirmières et Techniques de Santé (ISPITS),Plusieurs villes (La répartition géographique s'applique),Institut public,"Diplôme d'État (Infirmier, Technicien de Santé)",3 ans,Baccalauréat de l'année en cours ou de l'année précédente + pré-sélection (75% Bac National + 25% Bac Régional) + examen écrit + examen oral. [cite: 103],"Sciences Expérimentales, Sciences Mathématiques, Sciences et Technologies, Sciences Économiques et Gestion, Lettres et Sciences Humaines (pour certaines spécialités comme Assistant Social) [cite: 103]",,Statistiques de Santé,,,,,,,,,,
